Done loading data from cached files.
start training...
load PPR information from the existing.
epoch 0, loss 3.555868148803711, acc 0.01001088139281828
epoch 100, loss 1.9012998342514038, acc 0.6968443960826985
epoch 200, loss 1.5679861307144165, acc 0.7408052230685528
epoch 300, loss 1.399636149406433, acc 0.776278563656148
epoch 400, loss 1.2928500175476074, acc 0.7884657236126225
epoch 500, loss 1.2179360389709473, acc 0.7893362350380849
epoch 600, loss 1.16183602809906, acc 0.7902067464635474
epoch 700, loss 1.117813229560852, acc 0.7939064200217628
epoch 800, loss 1.0820242166519165, acc 0.7960826985854189
epoch 900, loss 1.0521177053451538, acc 0.7986942328618063
epoch 1000, loss 1.0265721082687378, acc 0.7982589771490751
epoch 1100, loss 1.0043474435806274, acc 0.7980413492927094
epoch 1200, loss 0.9847055077552795, acc 0.7976060935799782
epoch 1300, loss 0.9671084880828857, acc 0.7978237214363438
epoch 1400, loss 0.9511585831642151, acc 0.797170837867247
epoch 1500, loss 0.9365591406822205, acc 0.7978237214363438
epoch 1600, loss 0.9230889081954956, acc 0.8026115342763874
epoch 1700, loss 0.9105830788612366, acc 0.8032644178454842
epoch 1800, loss 0.8989185094833374, acc 0.8034820457018499
epoch 1900, loss 0.8879968523979187, acc 0.8034820457018499
testing...
final test: 0.7992819843342037, std 1.1102230246251565e-16
