K=3

epoch 0, loss 3.6036529541015625, acc 0.006311207834602829
epoch 100, loss 1.9485862255096436, acc 0.696626768226333
epoch 200, loss 1.5854434967041016, acc 0.7745375408052231
epoch 300, loss 1.4053610563278198, acc 0.7725788900979326
epoch 400, loss 1.2929823398590088, acc 0.7865070729053318
epoch 500, loss 1.213954210281372, acc 0.8
epoch 600, loss 1.1542121171951294, acc 0.8006528835690968
epoch 700, loss 1.1069473028182983, acc 0.8041349292709467
epoch 800, loss 1.0683943033218384, acc 0.8041349292709467
epoch 900, loss 1.036232352256775, acc 0.8047878128400435
epoch 1000, loss 1.0089131593704224, acc 0.8045701849836779
epoch 1100, loss 0.9853531122207642, acc 0.805658324265506
epoch 1200, loss 0.9647700786590576, acc 0.8054406964091404
epoch 1300, loss 0.9465839266777039, acc 0.8063112078346029
epoch 1400, loss 0.9303537011146545, acc 0.8060935799782372
epoch 1500, loss 0.915734589099884, acc 0.8060935799782372
epoch 1600, loss 0.9024546146392822, acc 0.8080522306855278
epoch 1700, loss 0.890299379825592, acc 0.8080522306855278
epoch 1800, loss 0.8790962100028992, acc 0.8082698585418934
epoch 1900, loss 0.8686990737915039, acc 0.8082698585418934
epoch 2000, loss 0.8589858412742615, acc 0.8082698585418934
epoch 2100, loss 0.8498578071594238, acc 0.8078346028291621
epoch 2200, loss 0.8412320017814636, acc 0.8078346028291621
epoch 2300, loss 0.8330355882644653, acc 0.8080522306855278
epoch 2400, loss 0.825206995010376, acc 0.8078346028291621
epoch 2500, loss 0.81769859790802, acc 0.8082698585418934
epoch 2600, loss 0.810477077960968, acc 0.8124047878128401
epoch 2700, loss 0.8035259246826172, acc 0.8130576713819369
epoch 2800, loss 0.7968529462814331, acc 0.8132752992383026
epoch 2900, loss 0.7904965877532959, acc 0.8217627856365615
epoch 3000, loss 0.784489631652832, acc 0.821980413492927
epoch 3100, loss 0.7788202166557312, acc 0.8217627856365615
epoch 3200, loss 0.7734562158584595, acc 0.8221980413492928
epoch 3300, loss 0.7683676481246948, acc 0.8224156692056583
epoch 3400, loss 0.7635315656661987, acc 0.8243743199129488
epoch 3500, loss 0.7589291334152222, acc 0.8243743199129488
epoch 3600, loss 0.7545443773269653, acc 0.8245919477693144
epoch 3700, loss 0.7503631711006165, acc 0.8248095756256801
epoch 3800, loss 0.7463714480400085, acc 0.8248095756256801
epoch 3900, loss 0.7425566911697388, acc 0.8252448313384113
epoch 4000, loss 0.7389060854911804, acc 0.8254624591947769
epoch 4100, loss 0.7354081869125366, acc 0.8254624591947769
epoch 4200, loss 0.7320520877838135, acc 0.8256800870511426
epoch 4300, loss 0.728827714920044, acc 0.8254624591947769
epoch 4400, loss 0.7257254123687744, acc 0.8254624591947769
epoch 4500, loss 0.7227367758750916, acc 0.8258977149075082
epoch 4600, loss 0.7198538184165955, acc 0.8261153427638738
epoch 4700, loss 0.7170695066452026, acc 0.8258977149075082
epoch 4800, loss 0.7143770456314087, acc 0.8256800870511426
epoch 4900, loss 0.7117710113525391, acc 0.8256800870511426
epoch 5000, loss 0.7092460989952087, acc 0.8265505984766051
epoch 5100, loss 0.7067979574203491, acc 0.8267682263329706
epoch 5200, loss 0.7044230103492737, acc 0.8267682263329706
epoch 5300, loss 0.7021180987358093, acc 0.8274211099020675
epoch 5400, loss 0.6998809576034546, acc 0.8276387377584331
epoch 5500, loss 0.697709321975708, acc 0.8278563656147987
epoch 5600, loss 0.6956013441085815, acc 0.8280739934711643
epoch 5700, loss 0.6935548782348633, acc 0.8280739934711643
epoch 5800, loss 0.6915678381919861, acc 0.8282916213275299
epoch 5900, loss 0.6896376609802246, acc 0.8282916213275299
epoch 6000, loss 0.6877614855766296, acc 0.8285092491838956
epoch 6100, loss 0.6859368085861206, acc 0.8282916213275299
epoch 6200, loss 0.684160590171814, acc 0.8282916213275299
epoch 6300, loss 0.6824303865432739, acc 0.8280739934711643
epoch 6400, loss 0.6807430982589722, acc 0.8278563656147987
epoch 6500, loss 0.6790962815284729, acc 0.8280739934711643
epoch 6600, loss 0.677487313747406, acc 0.8278563656147987
epoch 6700, loss 0.6759136319160461, acc 0.8278563656147987


K=128
