start training...
load PPR information from the existing.
epoch 0, loss 4.652134418487549, acc 0.06811751904243743
epoch 100, loss 2.3770816326141357, acc 0.8089227421109902
epoch 200, loss 2.290592908859253, acc 0.8121871599564744
epoch 300, loss 2.2380330562591553, acc 0.8161044613710555
epoch 400, loss 2.203044891357422, acc 0.8189336235038085
epoch 500, loss 1.4300037622451782, acc 0.823721436343852
epoch 600, loss 1.3057936429977417, acc 0.8254624591947769
epoch 700, loss 0.9093828797340393, acc 0.8261153427638738
epoch 800, loss 0.8709219694137573, acc 0.8267682263329706
epoch 900, loss 0.8504104018211365, acc 0.8272034820457018
epoch 1000, loss 0.8355037569999695, acc 0.8272034820457018
epoch 1100, loss 0.8235228657722473, acc 0.8274211099020675
epoch 1200, loss 0.8134216070175171, acc 0.8278563656147987
epoch 1300, loss 0.8046734929084778, acc 0.8278563656147987
epoch 1400, loss 0.7969673871994019, acc 0.8278563656147987
epoch 1500, loss 0.7900989055633545, acc 0.8280739934711643
epoch 1600, loss 0.7839233875274658, acc 0.8280739934711643
epoch 1700, loss 0.7783329486846924, acc 0.8280739934711643
epoch 1800, loss 0.7732433676719666, acc 0.8282916213275299
epoch 1900, loss 0.7685875296592712, acc 0.8282916213275299
epoch 2000, loss 0.7643107175827026, acc 0.8282916213275299
epoch 2100, loss 0.7603676319122314, acc 0.8289445048966267
epoch 2200, loss 0.7567217946052551, acc 0.8291621327529923
epoch 2300, loss 0.7533400654792786, acc 0.8291621327529923
epoch 2400, loss 0.7501949667930603, acc 0.8289445048966267
epoch 2500, loss 0.7472636103630066, acc 0.8289445048966267
epoch 2600, loss 0.7445248961448669, acc 0.8289445048966267
epoch 2700, loss 0.7419614791870117, acc 0.8289445048966267
epoch 2800, loss 0.7395579814910889, acc 0.8298150163220892
epoch 2900, loss 0.7373006939888, acc 0.8300326441784548
epoch 3000, loss 0.7351775765419006, acc 0.8300326441784548
epoch 3100, loss 0.7331778407096863, acc 0.8300326441784548
epoch 3200, loss 0.7312914133071899, acc 0.8302502720348205
epoch 3300, loss 0.7295100688934326, acc 0.8302502720348205
epoch 3400, loss 0.7278257608413696, acc 0.8304678998911861
epoch 3500, loss 0.7262312173843384, acc 0.8304678998911861
epoch 3600, loss 0.7247200608253479, acc 0.8306855277475517
epoch 3700, loss 0.7232863903045654, acc 0.8309031556039173
epoch 3800, loss 0.7219247817993164, acc 0.8313384113166485
epoch 3900, loss 0.7206305861473083, acc 0.8313384113166485
epoch 4000, loss 0.7193984985351562, acc 0.8313384113166485
epoch 4100, loss 0.7182247042655945, acc 0.831120783460283
epoch 4200, loss 0.7171059250831604, acc 0.8306855277475517
epoch 4300, loss 0.7160389423370361, acc 0.8304678998911861
epoch 4400, loss 0.7150201797485352, acc 0.8302502720348205
epoch 4500, loss 0.7140470743179321, acc 0.8304678998911861
epoch 4600, loss 0.7131169438362122, acc 0.8302502720348205
epoch 4700, loss 0.7122271060943604, acc 0.8302502720348205
epoch 4800, loss 0.7113754153251648, acc 0.8302502720348205
epoch 4900, loss 0.7105597257614136, acc 0.8304678998911861
epoch 5000, loss 0.7097780108451843, acc 0.8300326441784548
epoch 5100, loss 0.7090287804603577, acc 0.8302502720348205
epoch 5200, loss 0.7083097696304321, acc 0.8302502720348205
epoch 5300, loss 0.7076200246810913, acc 0.8304678998911861
epoch 5400, loss 0.7069574594497681, acc 0.8306855277475517
epoch 5500, loss 0.7063210606575012, acc 0.8304678998911861
epoch 5600, loss 0.7057093381881714, acc 0.8304678998911861
epoch 5700, loss 0.7051210999488831, acc 0.8306855277475517
epoch 5800, loss 0.704555094242096, acc 0.8306855277475517
epoch 5900, loss 0.7040103673934937, acc 0.8304678998911861
epoch 6000, loss 0.7034857273101807, acc 0.8304678998911861
epoch 6100, loss 0.7029801607131958, acc 0.8302502720348205
epoch 6200, loss 0.7024930715560913, acc 0.8302502720348205
epoch 6300, loss 0.7020232081413269, acc 0.8304678998911861
epoch 6400, loss 0.7015696167945862, acc 0.8302502720348205
epoch 6500, loss 0.7011317014694214, acc 0.8304678998911861
epoch 6600, loss 0.7007088661193848, acc 0.8309031556039173
epoch 6700, loss 0.7003003358840942, acc 0.831120783460283
epoch 6800, loss 0.699906051158905, acc 0.8313384113166485
epoch 6900, loss 0.6995288729667664, acc 0.831120783460283
epoch 7000, loss 0.6991803646087646, acc 0.8309031556039173
epoch 7100, loss 0.6988328695297241, acc 0.8309031556039173
epoch 7200, loss 0.6984922289848328, acc 0.8304678998911861
epoch 7300, loss 0.6981752514839172, acc 0.8304678998911861
epoch 7400, loss 0.6978746652603149, acc 0.8306855277475517
epoch 7500, loss 0.6975823044776917, acc 0.8306855277475517
epoch 7600, loss 0.6973268985748291, acc 0.8306855277475517
epoch 7700, loss 0.6970341801643372, acc 0.8309031556039173
epoch 7800, loss 0.6967779994010925, acc 0.8309031556039173
epoch 7900, loss 0.6965356469154358, acc 0.8309031556039173
epoch 8000, loss 0.6962929964065552, acc 0.8309031556039173
epoch 8100, loss 0.6960715055465698, acc 0.8313384113166485
epoch 8200, loss 0.6958520412445068, acc 0.8315560391730141
epoch 8300, loss 0.6956492066383362, acc 0.8313384113166485
epoch 8400, loss 0.6954520344734192, acc 0.831120783460283
epoch 8500, loss 0.6952647566795349, acc 0.8313384113166485
epoch 8600, loss 0.6950839161872864, acc 0.8317736670293797
epoch 8700, loss 0.6949146389961243, acc 0.8315560391730141
epoch 8800, loss 0.6947515606880188, acc 0.8317736670293797
epoch 8900, loss 0.694588303565979, acc 0.832208922742111
epoch 9000, loss 0.6944390535354614, acc 0.832208922742111
epoch 9100, loss 0.6942933797836304, acc 0.832208922742111
epoch 9200, loss 0.6941540241241455, acc 0.8324265505984766
epoch 9300, loss 0.6940205097198486, acc 0.8324265505984766
epoch 9400, loss 0.6938963532447815, acc 0.8324265505984766
epoch 9500, loss 0.6937677264213562, acc 0.832208922742111
epoch 9600, loss 0.6936479210853577, acc 0.832208922742111
epoch 9700, loss 0.6935425996780396, acc 0.8326441784548422
epoch 9800, loss 0.6934491991996765, acc 0.8326441784548422
epoch 9900, loss 0.6933146715164185, acc 0.8328618063112079
testing...
final test: 0.8296344647519582, std 0.0
