Done loading data from cached files.
start training...
load PPR information from the existing.
epoch 0, loss 4.663118362426758, acc 0.003264417845484222
epoch 100, loss 2.6965343952178955, acc 0.44374319912948856
epoch 200, loss 2.681486129760742, acc 0.4491838955386289
epoch 300, loss 2.668163299560547, acc 0.455930359085963
epoch 400, loss 2.6581270694732666, acc 0.4591947769314472
epoch 500, loss 2.3151092529296875, acc 0.4605005440696409
epoch 600, loss 2.2529258728027344, acc 0.46267682263329707
epoch 700, loss 2.2345094680786133, acc 0.4633297062023939
epoch 800, loss 2.2232460975646973, acc 0.46398258977149076
epoch 900, loss 2.2151269912719727, acc 0.4663764961915125
epoch 1000, loss 2.2088139057159424, acc 0.4661588683351469
epoch 1100, loss 2.2036945819854736, acc 0.4661588683351469
epoch 1200, loss 2.1994354724884033, acc 0.4674646354733406
epoch 1300, loss 2.195726156234741, acc 0.4681175190424374
epoch 1400, loss 2.191812038421631, acc 0.46833514689880307
epoch 1500, loss 2.188321352005005, acc 0.4726877040261153
epoch 1600, loss 2.185215473175049, acc 0.47290533188248096
epoch 1700, loss 2.182469129562378, acc 0.4733405875952122
epoch 1800, loss 2.180047035217285, acc 0.4737758433079434
epoch 1900, loss 2.090782403945923, acc 0.5122959738846572
epoch 2000, loss 2.070032835006714, acc 0.511860718171926
epoch 2100, loss 2.060328245162964, acc 0.5122959738846572
epoch 2200, loss 2.053844451904297, acc 0.5120783460282916
epoch 2300, loss 2.049095630645752, acc 0.5122959738846572
epoch 2400, loss 2.0454306602478027, acc 0.5120783460282916
epoch 2500, loss 2.042476177215576, acc 0.5125136017410229
epoch 2600, loss 2.0400145053863525, acc 0.5122959738846572
epoch 2700, loss 2.0379130840301514, acc 0.5125136017410229
epoch 2800, loss 2.0360841751098633, acc 0.5122959738846572
epoch 2900, loss 2.0344691276550293, acc 0.5122959738846572
epoch 3000, loss 2.033024787902832, acc 0.5122959738846572
epoch 3100, loss 2.031719923019409, acc 0.5116430903155604
epoch 3200, loss 2.0305309295654297, acc 0.5114254624591947
epoch 3300, loss 2.029439926147461, acc 0.5125136017410229
epoch 3400, loss 2.028432607650757, acc 0.5127312295973885
epoch 3500, loss 2.0274975299835205, acc 0.5125136017410229
epoch 3600, loss 2.026625633239746, acc 0.5125136017410229
epoch 3700, loss 2.0258092880249023, acc 0.5125136017410229
epoch 3800, loss 2.0250425338745117, acc 0.5125136017410229
epoch 3900, loss 2.024320363998413, acc 0.5127312295973885
epoch 4000, loss 2.0236382484436035, acc 0.5131664853101197
epoch 4100, loss 2.0229928493499756, acc 0.5129488574537541
epoch 4200, loss 2.022381067276001, acc 0.5129488574537541
epoch 4300, loss 2.021810531616211, acc 0.5133841131664854
epoch 4400, loss 2.021258592605591, acc 0.5133841131664854
epoch 4500, loss 2.0207736492156982, acc 0.5133841131664854
epoch 4600, loss 2.020260810852051, acc 0.5125136017410229
epoch 4700, loss 2.0198047161102295, acc 0.5127312295973885
epoch 4800, loss 2.0193681716918945, acc 0.5127312295973885
epoch 4900, loss 2.018951654434204, acc 0.5127312295973885
epoch 5000, loss 2.018559694290161, acc 0.5129488574537541
epoch 5100, loss 2.0181832313537598, acc 0.5127312295973885
epoch 5200, loss 2.0178236961364746, acc 0.5127312295973885
epoch 5300, loss 2.0174779891967773, acc 0.5127312295973885
epoch 5400, loss 2.0171477794647217, acc 0.5127312295973885
epoch 5500, loss 2.016829490661621, acc 0.5129488574537541
epoch 5600, loss 2.0165233612060547, acc 0.5127312295973885
epoch 5700, loss 2.016228675842285, acc 0.5127312295973885
epoch 5800, loss 2.0159435272216797, acc 0.5133841131664854
epoch 5900, loss 2.0156688690185547, acc 0.5138193688792165
epoch 6000, loss 2.0154032707214355, acc 0.5138193688792165
epoch 6100, loss 2.0151445865631104, acc 0.5138193688792165
epoch 6200, loss 2.014894485473633, acc 0.5138193688792165
epoch 6300, loss 2.0146496295928955, acc 0.5140369967355821
epoch 6400, loss 2.0144057273864746, acc 0.514689880304679
epoch 6500, loss 2.014169692993164, acc 0.5144722524483134
epoch 6600, loss 2.013939142227173, acc 0.5153427638737759
epoch 6700, loss 2.013714075088501, acc 0.5151251360174103
epoch 6800, loss 2.013507604598999, acc 0.5151251360174103
epoch 6900, loss 2.013277530670166, acc 0.5151251360174103
epoch 7000, loss 2.0130670070648193, acc 0.5149075081610446
epoch 7100, loss 2.01285982131958, acc 0.5151251360174103
epoch 7200, loss 2.0126569271087646, acc 0.5153427638737759
epoch 7300, loss 2.012458086013794, acc 0.5149075081610446
epoch 7400, loss 2.0122623443603516, acc 0.5153427638737759
epoch 7500, loss 2.0120699405670166, acc 0.5155603917301415
epoch 7600, loss 2.011880874633789, acc 0.515778019586507
epoch 7700, loss 2.011697292327881, acc 0.5159956474428727
epoch 7800, loss 2.011518716812134, acc 0.5159956474428727
epoch 7900, loss 2.0113465785980225, acc 0.515778019586507
epoch 8000, loss 2.011178970336914, acc 0.515778019586507
epoch 8100, loss 2.0110294818878174, acc 0.515778019586507
epoch 8200, loss 2.0108642578125, acc 0.5162132752992383
epoch 8300, loss 2.0107104778289795, acc 0.5166485310119695
epoch 8400, loss 2.010563611984253, acc 0.515778019586507
epoch 8500, loss 2.010420083999634, acc 0.5162132752992383
epoch 8600, loss 2.0102791786193848, acc 0.5164309031556039
epoch 8700, loss 2.0101664066314697, acc 0.5162132752992383
epoch 8800, loss 2.0100154876708984, acc 0.5168661588683352
epoch 8900, loss 2.00988507270813, acc 0.517519042437432
epoch 9000, loss 2.009763717651367, acc 0.5177366702937976
epoch 9100, loss 2.009644031524658, acc 0.5179542981501633
epoch 9200, loss 2.009540557861328, acc 0.5179542981501633
epoch 9300, loss 2.0094192028045654, acc 0.5177366702937976
epoch 9400, loss 2.0093090534210205, acc 0.517519042437432
epoch 9500, loss 2.009204864501953, acc 0.5177366702937976
epoch 9600, loss 2.0091049671173096, acc 0.5181719260065288
epoch 9700, loss 2.0090084075927734, acc 0.5179542981501633
epoch 9800, loss 2.0089144706726074, acc 0.5183895538628944
epoch 9900, loss 2.008821487426758, acc 0.5181719260065288
testing...
final test: 0.5073977371627503, std 0.0
